 data_base |    table_schema    |              table_name               
 pgwatch2  | information_schema | column_domain_usage
 pgwatch2  | information_schema | column_options
 pgwatch2  | information_schema | column_privileges
 pgwatch2  | information_schema | columns
 pgwatch2  | information_schema | column_udt_usage
 pgwatch2  | information_schema | constraint_column_usage
 pgwatch2  | information_schema | constraint_table_usage
 pgwatch2  | information_schema | data_type_privileges
 pgwatch2  | information_schema | domain_constraints
 pgwatch2  | information_schema | domains
 pgwatch2  | information_schema | domain_udt_usage
 pgwatch2  | information_schema | element_types
 pgwatch2  | information_schema | enabled_roles
 pgwatch2  | information_schema | foreign_data_wrapper_options
 pgwatch2  | information_schema | foreign_data_wrappers
 pgwatch2  | information_schema | foreign_server_options
 pgwatch2  | information_schema | foreign_servers
 pgwatch2  | information_schema | foreign_table_options
 pgwatch2  | information_schema | foreign_tables
 pgwatch2  | information_schema | information_schema_catalog_name
 pgwatch2  | information_schema | key_column_usage
 pgwatch2  | information_schema | parameters
 pgwatch2  | information_schema | _pg_foreign_data_wrappers
 pgwatch2  | information_schema | _pg_foreign_servers
 pgwatch2  | information_schema | _pg_foreign_table_columns
 pgwatch2  | information_schema | _pg_foreign_tables
 pgwatch2  | information_schema | _pg_user_mappings
 pgwatch2  | information_schema | referential_constraints
 pgwatch2  | information_schema | role_column_grants
 pgwatch2  | information_schema | role_routine_grants
 pgwatch2  | information_schema | role_table_grants
 pgwatch2  | information_schema | role_udt_grants
 pgwatch2  | information_schema | role_usage_grants
 pgwatch2  | information_schema | routine_privileges
 pgwatch2  | information_schema | routines
 pgwatch2  | information_schema | schemata
 pgwatch2  | information_schema | sequences
 pgwatch2  | information_schema | sql_features
 pgwatch2  | information_schema | sql_implementation_info
 pgwatch2  | information_schema | sql_languages
 pgwatch2  | information_schema | sql_packages
 pgwatch2  | information_schema | sql_parts
 pgwatch2  | information_schema | sql_sizing
 pgwatch2  | information_schema | sql_sizing_profiles
 pgwatch2  | information_schema | table_constraints
 pgwatch2  | information_schema | table_privileges
 pgwatch2  | information_schema | tables
 pgwatch2  | information_schema | transforms
 pgwatch2  | information_schema | triggered_update_columns
 pgwatch2  | information_schema | triggers
 pgwatch2  | information_schema | udt_privileges
 pgwatch2  | information_schema | usage_privileges
 pgwatch2  | information_schema | user_defined_types
 pgwatch2  | information_schema | user_mapping_options
 pgwatch2  | information_schema | user_mappings
 pgwatch2  | information_schema | view_column_usage
 pgwatch2  | information_schema | view_routine_usage
 pgwatch2  | information_schema | views
 pgwatch2  | information_schema | view_table_usage
 pgwatch2  | pg_catalog         | pg_aggregate
 pgwatch2  | pg_catalog         | pg_am
 pgwatch2  | pg_catalog         | pg_amop
 pgwatch2  | pg_catalog         | pg_amproc
 pgwatch2  | pg_catalog         | pg_attrdef
 pgwatch2  | pg_catalog         | pg_attribute
 pgwatch2  | pg_catalog         | pg_authid
 pgwatch2  | pg_catalog         | pg_auth_members
 pgwatch2  | pg_catalog         | pg_available_extensions
 pgwatch2  | pg_catalog         | pg_available_extension_versions
 pgwatch2  | pg_catalog         | pg_cast
